Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,,ChannelS,Watch time(Minutes)S,Stream time(minutes)S,Peak viewersS,Average viewersS,FollowersS,Followers gainedS,Views gainedS,PartneredS,MatureS,LanguageS
Timmac,294663825,191970,13500,1460,393639,32867,4232938,TRUE,FALSE,English,,,,,,,,,,,,
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,TRUE,FALSE,English,,,,,,,,,,,,
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,TRUE,FALSE,English,,,,,,,,,,,,
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,23166,17259602,TRUE,FALSE,English,,,,,,,,,,,,
crokeyz,292698660,163095,5916,1796,68907,36715,3476636,TRUE,FALSE,English,,,,,,,,,,,,
Letshe,291144945,80745,28808,3073,884661,687813,11561585,TRUE,FALSE,English,,,,,,,,,,,,
SaltyBet,290991045,508140,3467,571,224099,69465,4509671,TRUE,FALSE,English,,,,,,,,,,,,
jakenbakeLIVE,289531305,120435,23432,2375,489623,116554,7920696,TRUE,FALSE,English,,,,,,,,,,,,
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,TRUE,FALSE,English,,,,,,,,,,,,
limit_maximum,288857850,85905,124818,1886,162040,70116,5965543,TRUE,TRUE,English,,,,,,,,,,,,
RaizQT,286839210,121965,15185,2164,167584,31194,5190502,TRUE,FALSE,English,,,,,,,,,,,,
Replays,285932205,140220,16193,1983,871405,449727,5185473,TRUE,FALSE,English,,,,,,,,,,,,
cdewx,284645955,139140,23448,1904,380159,50596,8015709,TRUE,FALSE,English,,,,,,,,,,,,
BotezLive,283479405,115845,36278,1985,330772,280964,12851602,TRUE,FALSE,English,,,,,,,,,,,,
DownToQuest,281365035,513540,20723,543,82299,53724,3524088,TRUE,TRUE,English,,,,,,,,,,,,
PENTA,280798065,116745,7172,2322,152821,40474,2786097,TRUE,TRUE,English,,,,,,,,,,,,
uhSnow,280296045,88500,8375,3150,134611,43869,3334788,TRUE,TRUE,English,,,,,,,,,,,,
JERICHO,280176915,112860,21935,2401,1191987,66665,7582522,TRUE,FALSE,English,,,,,,,,,,,,
T90Official,279691620,76395,51422,3379,160226,69044,6886631,TRUE,FALSE,English,,,,,,,,,,,,
DanucD,278223765,135030,4439,2045,546052,223147,12048648,TRUE,FALSE,English,,,,,,,,,,,,
DisguisedToast,277695945,20325,38169,9892,1340283,192604,5928269,FALSE,FALSE,English,,,,,,,,,,,,
DesertHeartsRecords,276313155,64620,24264,3620,85097,84304,58418224,FALSE,FALSE,English,,,,,,,,,,,,
Jankos,274889760,45045,18826,5858,573657,271355,9284513,TRUE,FALSE,English,,,,,,,,,,,,
Sykkuno,272813670,91035,29658,2530,334591,305734,5285377,TRUE,FALSE,English,,,,,,,,,,,,
JokerdTV,271815660,120165,319862,2013,159384,157656,9070954,TRUE,TRUE,English,,,,,,,,,,,,
Jerma985,269372580,57495,15921,4773,334594,92752,3411872,TRUE,TRUE,English,,,,,,,,,,,,
GoldGlove,268632360,119895,22448,2196,1433703,23684,16902968,TRUE,FALSE,English,,,,,,,,,,,,
harbleu,266439435,65775,13230,3926,349467,112349,3527460,TRUE,FALSE,English,,,,,,,,,,,,
runthefutmarket,265426125,84945,20746,2999,292812,146753,4266359,TRUE,FALSE,English,,,,,,,,,,,,
Warframe,262160025,13740,346131,12843,1254031,282680,5405191,TRUE,FALSE,English,,,,,,,,,,,,
Smoke,261617925,100050,25500,2331,166007,53212,2955403,TRUE,FALSE,English,,,,,,,,,,,,
mL7support,260845395,115380,9038,2124,342850,140872,5387428,TRUE,FALSE,English,,,,,,,,,,,,
QuickyBaby,255820995,118710,11077,2207,416329,45998,5642381,TRUE,FALSE,English,,,,,,,,,,,,
aDrive,255087615,101085,14637,1692,461081,117274,3858228,TRUE,FALSE,English,,,,,,,,,,,,
KabajiOW,254772135,72240,13865,3252,369667,87338,4098475,TRUE,TRUE,English,,,,,,,,,,,,
TrU3Ta1ent,254345355,113745,10901,2204,595939,101235,6614948,TRUE,FALSE,English,,,,,,,,,,,,
cyr,252345645,146190,19267,1678,182107,49771,4106827,TRUE,TRUE,English,,,,,,,,,,,,
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,TRUE,FALSE,English,,,,,,,,,,,,
masondota2,250624350,83205,8377,2882,104526,39906,3406472,TRUE,FALSE,English,,,,,,,,,,,,
Annoying,250297065,64290,17361,3884,431285,158587,1799471,TRUE,FALSE,English,,,,,,,,,,,,
Pace22,247862850,156975,10350,1524,171871,112723,3080537,TRUE,TRUE,English,,,,,,,,,,,,
SaltyTeemo,247613265,517980,1803,476,173196,36103,2117741,FALSE,FALSE,English,,,,,,,,,,,,
Odablock,247535550,101595,29397,2336,131966,92477,4228405,TRUE,FALSE,English,,,,,,,,,,,,
Calebhart42,246974370,124830,6763,1808,177595,13410,2533119,TRUE,FALSE,English,,,,,,,,,,,,
MacieJay,246761880,107805,7318,2249,835787,195140,5353692,TRUE,FALSE,English,,,,,,,,,,,,
Kephrii,245934495,165135,8709,1297,559647,102990,5923710,TRUE,FALSE,English,,,,,,,,,,,,
FEDMYSTER,245399790,24945,35011,9086,609723,284967,5176805,TRUE,FALSE,English,,,,,,,,,,,,
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,TRUE,FALSE,English,,,,,,,,,,,,
supertf,244635645,90585,9118,2526,196136,139939,3551440,TRUE,FALSE,English,,,,,,,,,,,,
Kotton,244412715,73005,58818,2757,253065,80920,4459178,TRUE,TRUE,English,,,,,,,,,,,,
saintvicious,244262295,168030,5370,1422,247236,44436,3133396,TRUE,FALSE,English,,,,,,,,,,,,
Northernlion,242833140,60855,9312,3968,359260,22629,3384340,TRUE,FALSE,English,,,,,,,,,,,,
bmkibler,241615470,103230,15034,2247,475075,23971,5087052,TRUE,FALSE,English,,,,,,,,,,,,
Arteezy,240834885,12285,31009,19681,634982,99726,3776042,TRUE,TRUE,English,,,,,,,,,,,,
flamuu,239018790,126915,5242,1851,117425,36301,3225407,TRUE,TRUE,English,,,,,,,,,,,,
WOKE,235303170,51600,50598,3827,107484,105725,3460437,TRUE,TRUE,English,,,,,,,,,,,,
Amaz,235255500,84525,12652,2764,915023,-5405,4237993,TRUE,FALSE,English,,,,,,,,,,,,
ESL_SC2,234726075,278745,40072,1414,305311,36130,5674624,TRUE,FALSE,English,,,,,,,,,,,,
CuteDog_,234058290,207090,7016,1104,113658,22074,3489772,TRUE,TRUE,English,,,,,,,,,,,,
theRealShooKon3,233210205,166260,6148,1333,126282,37207,2944974,TRUE,TRUE,English,,,,,,,,,,,,
Albralelie,232815960,128580,18730,1668,240030,216977,5392597,TRUE,FALSE,English,,,,,,,,,,,,
WagamamaTV,231985905,178470,7377,1268,312799,20933,3880798,TRUE,FALSE,English,,,,,,,,,,,,
sleepy,231452460,107280,8855,2103,317125,254462,3295029,TRUE,FALSE,English,,,,,,,,,,,,
GrandPOObear,231011760,101175,13295,2230,253619,44926,3877237,TRUE,TRUE,English,,,,,,,,,,,,
LuluLuvely,229749045,107070,10110,2178,431852,360592,6019198,TRUE,FALSE,English,,,,,,,,,,,,
Swifty,229431480,122160,19884,1572,615027,71011,8647522,TRUE,FALSE,English,,,,,,,,,,,,
PsheroTV,228376905,184215,10739,1166,202779,59927,5384623,TRUE,TRUE,English,,,,,,,,,,,,
Strippin,227458650,121575,9127,1816,293665,19904,3115313,TRUE,FALSE,English,,,,,,,,,,,,
Mendo,226473345,99480,25321,1959,518090,176007,5487693,TRUE,TRUE,English,,,,,,,,,,,,
Pikabooirl,225939795,103740,21309,2146,237214,78399,5574448,TRUE,FALSE,English,,,,,,,,,,,,
Skadoodle,225401640,89955,30357,2318,611890,219104,5373229,TRUE,TRUE,English,,,,,,,,,,,,
Otzdarva,222546390,91905,14940,2387,262104,146762,3176930,TRUE,FALSE,English,,,,,,,,,,,,
KingGothalion,218707740,34875,41994,5792,1015521,44907,3349456,TRUE,FALSE,English,,,,,,,,,,,,
ItsSlikeR,218576850,95655,12762,2317,283503,154360,5243404,TRUE,TRUE,English,,,,,,,,,,,,
Alinity,218509065,90150,17341,2441,1203324,255987,13908506,TRUE,FALSE,English,,,,,,,,,,,,
TidesofTime,218415420,88485,12457,2104,251700,27110,2240586,TRUE,FALSE,English,,,,,,,,,,,,
GernaderJake,218318010,146295,21162,1347,295771,70693,8847646,TRUE,FALSE,English,,,,,,,,,,,,
bebe872,217343400,212205,4965,1087,70232,51251,2383295,TRUE,FALSE,English,,,,,,,,,,,,
Flight23white,216792240,31455,74388,7522,828896,704583,2016920,TRUE,FALSE,English,,,,,,,,,,,,
Heelmike,216316170,101400,18963,2115,308927,208795,3406743,TRUE,TRUE,English,,,,,,,,,,,,
OGADotaPIT,216072855,18705,60846,10161,157820,48664,8333671,TRUE,FALSE,English,,,,,,,,,,,,
SoloRenektonOnly,215806260,122985,5118,1735,391603,74554,4581141,TRUE,FALSE,English,,,,,,,,,,,,
k3soju,215233395,125865,7504,1647,76666,70939,2609837,TRUE,FALSE,English,,,,,,,,,,,,
BikeMan,214504440,136845,7223,1486,264192,11101,3531376,TRUE,TRUE,English,,,,,,,,,,,,
Criken,212449905,113040,11050,1828,285509,32753,3593487,TRUE,TRUE,English,,,,,,,,,,,,
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,TRUE,FALSE,English,,,,,,,,,,,,
Broxah,212141310,46605,13137,4269,317896,209200,5351294,TRUE,FALSE,English,,,,,,,,,,,,
landonorris,209499930,30120,97550,6524,584831,457635,12694726,TRUE,FALSE,English,,,,,,,,,,,,
chess24,207560115,82035,32856,1603,66198,49745,20337169,TRUE,FALSE,English,,,,,,,,,,,,
TheNo1Alex,206694345,176910,8554,1105,140855,30883,7225371,TRUE,FALSE,English,,,,,,,,,,,,
Tomato,205792050,76080,5358,2675,92634,36010,2200922,TRUE,TRUE,English,,,,,,,,,,,,
runitup247,205746015,486000,1182,422,91608,30397,2424188,TRUE,FALSE,English,,,,,,,,,,,,
skill4ltu,205017270,135510,4049,1503,127741,46398,4548052,TRUE,TRUE,English,,,,,,,,,,,,
Worrun_,204440715,94455,41881,1728,146163,103762,3425022,TRUE,TRUE,English,,,,,,,,,,,,
brax,204330900,26010,28736,5295,574927,282648,4449212,TRUE,FALSE,English,,,,,,,,,,,,
HAchubby,203908095,73110,13675,2779,221461,159519,5075885,TRUE,FALSE,English,,,,,,,,,,,,
Wingsofdeath,202858185,144150,7176,1343,473157,6267,2534023,TRUE,FALSE,English,,,,,,,,,,,,
mang0,202842615,140325,24391,1403,328671,53694,3077795,TRUE,TRUE,English,,,,,,,,,,,,
Philza,202591425,62925,24611,2991,527540,292543,5158370,TRUE,FALSE,English,,,,,,,,,,,,
Kurumx,202487955,131190,16413,1543,50286,49439,2485867,TRUE,FALSE,English,,,,,,,,,,,,
Pieface23,201823125,93360,14072,2149,238155,127444,2037389,TRUE,FALSE,English,,,,,,,,,,,,
CurtisRyan,201233880,162660,7245,1205,65688,33141,3760730,TRUE,TRUE,English,,,,,,,,,,,,
CalebDMTG,200582400,121635,5446,1608,71327,9005,1563033,TRUE,FALSE,English,,,,,,,,,,,,
Fairlight_Excalibur,199826220,163650,19156,1208,408958,5162,1645770,TRUE,FALSE,English,,,,,,,,,,,,
StreamerHouse,199501650,496545,12609,402,630255,10659,2800864,TRUE,FALSE,English,,,,,,,,,,,,
Twitch,198083340,12015,130795,9190,1189614,223168,46395022,TRUE,FALSE,English,,,,,,,,,,,,
Wardiii,196743645,104280,9459,1670,76777,31905,3970743,TRUE,FALSE,English,,,,,,,,,,,,
KarasMai,195800370,138300,6728,1374,281664,139915,3975842,TRUE,FALSE,English,,,,,,,,,,,,
Sloot,195525465,207555,21283,937,205002,23506,4415937,TRUE,FALSE,English,,,,,,,,,,,,
ChicaLive,195344370,92445,14928,2045,1041932,631422,2776587,TRUE,FALSE,English,,,,,,,,,,,,
Valkia,194961090,106335,23519,1008,308459,146451,8091070,TRUE,FALSE,English,,,,,,,,,,,,
caps,194376465,17865,26754,10170,479368,270611,6373471,TRUE,FALSE,English,,,,,,,,,,,,
Alfie,194074230,181755,15588,971,183885,33462,3380440,TRUE,FALSE,English,,,,,,,,,,,,
NiceWigg,193912155,130140,13013,1475,184033,111498,2871081,TRUE,FALSE,English,,,,,,,,,,,,
JASONR,193460805,188205,33902,992,777611,136800,6183865,TRUE,FALSE,English,,,,,,,,,,,,
miniminter,189756300,41400,27188,4215,858427,588461,16598800,TRUE,FALSE,English,,,,,,,,,,,,
ClintStevens,189206565,40125,15223,4445,393432,102753,2303521,TRUE,FALSE,English,,,,,,,,,,,,
Jay3,187658970,165585,9514,1111,189654,124100,3079327,TRUE,FALSE,English,,,,,,,,,,,,
SovietWomble,187497450,63360,9616,2900,1368076,214775,5846971,TRUE,TRUE,English,,,,,,,,,,,,
Speedrun,186800430,500010,16604,375,93358,51098,13863239,TRUE,FALSE,English,,,,,,,,,,,,
hexy,186060390,90495,14020,2092,336093,20006,2855592,TRUE,FALSE,English,,,,,,,,,,,,
xChocoBars,185905980,96300,37216,1917,583881,107350,8679867,TRUE,FALSE,English,,,,,,,,,,,,
SheriffEli,185394810,143400,5988,1291,265814,11832,2355559,TRUE,TRUE,English,,,,,,,,,,,,
iateyourpie,184820460,181335,10962,987,124020,7942,4878552,TRUE,FALSE,English,,,,,,,,,,,,
KYR_SP33DY,184233300,95055,6607,1879,706212,66637,2451110,TRUE,FALSE,English,,,,,,,,,,,,
Pengu,182358345,70665,7707,2452,775987,241309,5240516,TRUE,TRUE,English,,,,,,,,,,,,
TSM_TheOddOne,181908120,188445,4363,913,864087,-15772,6370949,TRUE,FALSE,English,,,,,,,,,,,,
VGBootCamp,181431360,77085,97791,1534,521938,24798,5491154,TRUE,FALSE,English,,,,,,,,,,,,
CapcomFighters,181252125,23850,84858,5684,348447,20205,12878708,TRUE,FALSE,English,,,,,,,,,,,,
Datto,181075290,71400,82047,2122,530822,89739,4566171,TRUE,TRUE,English,,,,,,,,,,,,
BeatportOfficial,180850230,27765,48457,5300,126546,124653,36484452,TRUE,FALSE,English,,,,,,,,,,,,
Sanchovies,180166830,141225,15588,1250,154845,145102,3924344,TRUE,FALSE,English,,,,,,,,,,,,
GhostFreak66,179939730,107295,94791,1029,111646,89879,2471382,TRUE,TRUE,English,,,,,,,,,,,,
Monkeynews,179083095,154965,72483,1288,80290,54112,4978021,TRUE,TRUE,English,,,,,,,,,,,,
WARDELL,178718460,127155,16215,1394,306435,288200,5304936,TRUE,TRUE,English,,,,,,,,,,,,
NiteNightKid,178419030,149040,29228,1127,28818,11998,1450208,TRUE,TRUE,English,,,,,,,,,,,,
fuslie,178245645,67560,45247,2504,336394,116757,7152158,TRUE,FALSE,English,,,,,,,,,,,,
Tyceno,177947595,42825,40407,4015,297359,250536,1623230,TRUE,TRUE,English,,,,,,,,,,,,
Faux,177800325,151170,15167,1133,237909,29301,3248586,TRUE,FALSE,English,,,,,,,,,,,,
Drjayfisto,177159195,155340,4092,1105,130341,41353,6201998,TRUE,TRUE,English,,,,,,,,,,,,
BigEx,176005440,96870,21401,1569,256448,138235,1947938,TRUE,FALSE,English,,,,,,,,,,,,
Becca,174842160,115200,11405,1500,357844,56356,4198030,TRUE,FALSE,English,,,,,,,,,,,,
SirhcEz,174824130,133410,5928,1279,579629,34334,3081725,TRUE,FALSE,English,,,,,,,,,,,,
twlevewinsHS,174228915,102900,5425,1711,38410,31257,1353428,TRUE,FALSE,English,,,,,,,,,,,,
Zombie_Barricades,173823135,228765,4497,735,172386,60031,2219053,TRUE,TRUE,English,,,,,,,,,,,,
NBA2KLeague,173779995,28245,48495,4264,143535,42942,67586924,TRUE,FALSE,English,,,,,,,,,,,,
GingiTV,171013470,89805,6450,1713,156597,45047,5117439,TRUE,FALSE,English,,,,,,,,,,,,
venruki,170464680,133110,13179,1264,292558,44449,7127552,TRUE,FALSE,English,,,,,,,,,,,,
nugiyen,169858440,159135,8448,996,121984,22377,3448935,TRUE,FALSE,English,,,,,,,,,,,,
HighDistortion,169501845,105630,20179,1397,1677690,61126,5125402,TRUE,FALSE,English,,,,,,,,,,,,
THump,169365870,92055,8063,1885,250786,115028,2168664,TRUE,TRUE,English,,,,,,,,,,,,
MaTaFe_,169215480,153525,8535,1096,116653,106957,4182011,TRUE,TRUE,English,,,,,,,,,,,,
VaporaDark,168943005,70650,5041,2338,101359,22193,7610128,TRUE,FALSE,English,,,,,,,,,,,,
PaymoneyWubby,168861240,30600,16622,5485,302419,126399,2668187,TRUE,FALSE,English,,,,,,,,,,,,
RTGameCrowd,168832200,38685,20354,4259,861594,308499,3736356,TRUE,FALSE,English,,,,,,,,,,,,
Bawkbasoup,168736395,130215,7853,1259,94820,27795,2313340,TRUE,TRUE,English,,,,,,,,,,,,
TSM_Hamlinz,167898480,11055,51989,15483,2137521,126150,2268382,TRUE,FALSE,English,,,,,,,,,,,,
DougisRaw,167875230,153960,22641,1076,127151,74509,2149900,TRUE,TRUE,English,,,,,,,,,,,,
Mmorpg,167774640,182925,4994,908,235167,19566,3055373,TRUE,FALSE,English,,,,,,,,,,,,
BreaK,167534355,115560,9531,1432,309300,18289,3880016,TRUE,TRUE,English,,,,,,,,,,,,
Xposed,167309220,111240,8580,1475,266853,147449,2220313,TRUE,TRUE,English,,,,,,,,,,,,
BoarControlHS,166892040,153345,3622,1064,79204,39363,2852825,TRUE,FALSE,English,,,,,,,,,,,,
CrReaM,166587645,142350,8098,1150,165906,6207,1614843,TRUE,TRUE,English,,,,,,,,,,,,
SmallAnt,166352115,96720,11518,1821,255156,218287,2695198,TRUE,FALSE,English,,,,,,,,,,,,
Naowh,165590085,120435,11693,1333,103636,48833,5069397,TRUE,FALSE,English,,,,,,,,,,,,
Vargskelethor,164759730,58395,6577,2809,287063,60041,2147906,TRUE,TRUE,English,,,,,,,,,,,,
LobosJr,163736505,121335,12709,1332,375646,27173,3970888,TRUE,TRUE,English,,,,,,,,,,,,
Monstercat,163589370,519675,14261,313,788684,22331,4084222,TRUE,FALSE,English,,,,,,,,,,,,
DuelLinksMeta,163307010,89910,5792,1886,88697,33306,6092699,TRUE,FALSE,English,,,,,,,,,,,,
swimstrim,162723510,108540,13314,1383,137885,62796,2964244,TRUE,FALSE,English,,,,,,,,,,,,
AnneMunition,162714930,99345,37236,1586,621921,65910,10222790,TRUE,FALSE,English,,,,,,,,,,,,
Reverse2k,162618315,181665,14160,925,380488,155158,3906784,TRUE,FALSE,English,,,,,,,,,,,,
erobb221,162559230,82470,10391,2028,244207,88737,2352357,TRUE,FALSE,English,,,,,,,,,,,,
Cryaotic,162138405,85785,7169,1727,813371,24644,2326058,TRUE,TRUE,English,,,,,,,,,,,,
Sweatcicle,161489220,137880,14550,1023,160000,120954,2372907,TRUE,TRUE,English,,,,,,,,,,,,
tebtv,161468685,69315,13639,2177,76050,59909,10310607,TRUE,FALSE,English,,,,,,,,,,,,
Alkaizerx,161185890,103950,12430,1312,153870,21706,3152805,TRUE,TRUE,English,,,,,,,,,,,,
Rogue,159761910,121005,7289,1186,169330,147217,2431075,TRUE,FALSE,English,,,,,,,,,,,,
easywithaces,159655155,107910,18686,1388,90359,35096,3279762,TRUE,TRUE,English,,,,,,,,,,,,
dizzy,159505395,49125,19262,2997,795869,122263,4572893,TRUE,TRUE,English,,,,,,,,,,,,
EAMaddenNFL,159449055,19995,57179,5697,241924,72319,5152605,TRUE,FALSE,English,,,,,,,,,,,,
TobiasFate,159172080,127740,4681,1233,701822,49134,5210466,TRUE,FALSE,English,,,,,,,,,,,,
PUBG,159140235,32865,35922,4647,733628,78929,4783744,TRUE,FALSE,English,,,,,,,,,,,,
BananaSlamJamma,159071145,113595,5152,1263,170181,23267,2546439,TRUE,TRUE,English,,,,,,,,,,,,
Dyrus,158999070,138300,11338,1123,1474090,111,3724340,TRUE,TRUE,English,,,,,,,,,,,,
IFrostBolt,158035530,169260,6210,897,199618,106749,2723926,TRUE,FALSE,English,,,,,,,,,,,,
Kandyland,157882170,86745,9203,1748,405554,202294,11207571,TRUE,TRUE,English,,,,,,,,,,,,
Sco,157847640,57690,15241,1790,375911,32463,10361325,TRUE,FALSE,English,,,,,,,,,,,,
ProfessorBroman,157325925,154635,12676,955,732192,22714,3579571,TRUE,TRUE,English,,,,,,,,,,,,
PardonMyTake,156004485,25140,141406,6728,143916,143806,3300371,TRUE,FALSE,English,,,,,,,,,,,,
Sweet_Anita,155731920,57600,21594,2690,972070,510063,7927278,TRUE,TRUE,English,,,,,,,,,,,,
Draineo,155593140,124095,7777,1169,102225,65702,175788,TRUE,FALSE,English,,,,,,,,,,,,
AnthonyZ,154524165,117735,7416,1216,199617,23303,2812219,TRUE,FALSE,English,,,,,,,,,,,,
roflgator,153963765,110910,14329,1281,106365,46487,1449834,TRUE,TRUE,English,,,,,,,,,,,,
QuarterJade,153857655,61980,12144,2286,277256,167202,3921702,TRUE,FALSE,English,,,,,,,,,,,,
Stewie2K,151271895,24735,27416,5296,875087,289867,5771575,TRUE,TRUE,English,,,,,,,,,,,,
jorbs,151128345,117795,4084,1243,70609,20603,1410877,TRUE,FALSE,English,,,,,,,,,,,,
kurt0411,150579045,37710,26941,4083,142446,114789,2221662,TRUE,FALSE,English,,,,,,,,,,,,
SayNoToRage,150150330,137820,8014,1010,168463,17619,1552234,TRUE,FALSE,English,,,,,,,,,,,,
MiltonTPike1,149975130,81960,8838,1845,200012,25768,2185519,TRUE,FALSE,English,,,,,,,,,,,,
MarketTradersTV,148900110,499215,1357,297,30413,12081,981536,TRUE,FALSE,English,,,,,,,,,,,,
Flambass,148717500,130395,5507,1138,71953,26918,2319131,TRUE,TRUE,English,,,,,,,,,,,,
Aa9skillz,148596180,49035,11843,2885,502696,142789,2373012,TRUE,FALSE,English,,,,,,,,,,,,
Limmy,148371105,90600,6575,1641,207508,136263,2433739,TRUE,TRUE,English,,,,,,,,,,,,
kyliebitkin,147948870,127485,6688,1142,85336,25720,2468122,TRUE,TRUE,English,,,,,,,,,,,,
CoconutB,147918285,122565,4596,1171,188378,62459,2691775,TRUE,TRUE,English,,,,,,,,,,,,
FanHOTS,147664290,134550,2104,1090,64587,27948,2451118,TRUE,FALSE,English,,,,,,,,,,,,
Killars,146865810,210810,4232,642,46971,15728,1747381,TRUE,FALSE,English,,,,,,,,,,,,
Weak3n,146770110,115470,2922,1260,188176,30028,4780580,TRUE,FALSE,English,,,,,,,,,,,,
Tourva,146412075,116070,5067,1185,287553,182413,7888629,TRUE,TRUE,English,,,,,,,,,,,,
wintergaming,146245920,195615,7019,719,260779,13900,3609065,TRUE,FALSE,English,,,,,,,,,,,,
monkeys_forever,145475145,80460,6738,1563,79270,34329,2106144,TRUE,FALSE,English,,,,,,,,,,,,
trihex,144608640,121515,21721,1157,431935,29678,5777172,TRUE,TRUE,English,,,,,,,,,,,,
Spaceboy,144599880,123015,10590,1107,135311,27050,2614773,TRUE,TRUE,English,,,,,,,,,,,,
Froggen,144496815,46710,10648,3024,770030,31800,3577064,TRUE,FALSE,English,,,,,,,,,,,,
RiceGum,144167385,12300,29173,11696,903261,388376,2273737,TRUE,FALSE,English,,,,,,,,,,,,
ipav999,144114480,191400,2536,737,163956,82668,2920832,TRUE,FALSE,English,,,,,,,,,,,,
kragiee,143449350,121890,6298,1137,234312,65977,3136101,TRUE,FALSE,English,,,,,,,,,,,,
Puppers,143414790,98595,6798,1458,171425,64591,1753517,TRUE,FALSE,English,,,,,,,,,,,,
Crayator,143191365,75165,4911,1796,599828,177501,3865293,TRUE,FALSE,English,,,,,,,,,,,,
MANvsGAME,142696875,65775,5831,2103,510330,2336,2713787,TRUE,TRUE,English,,,,,,,,,,,,
foggedftw2,142444290,111675,8622,1220,242205,109500,3438208,TRUE,TRUE,English,,,,,,,,,,,,
Linkus7,142322655,121755,7248,1121,96728,41862,1866513,TRUE,FALSE,English,,,,,,,,,,,,
Arcadum,142213980,134700,13801,992,120586,78642,2169921,TRUE,FALSE,English,,,,,,,,,,,,
ImMarksman,142168560,77430,11141,1889,633443,152094,1311402,TRUE,FALSE,English,,,,,,,,,,,,
SilentSentry,141219225,125760,5572,1085,301633,13533,1896110,TRUE,FALSE,English,,,,,,,,,,,,
purple_hs,140426535,111810,5460,1149,88792,18850,1512076,TRUE,FALSE,English,,,,,,,,,,,,
Zerkaa,140243025,51000,11192,2571,529504,373720,2530852,TRUE,FALSE,English,,,,,,,,,,,,
Spraggy,139893270,81585,30415,1674,99807,35453,3037728,TRUE,FALSE,English,,,,,,,,,,,,
Day9tv,139556325,64500,5597,2140,496790,13344,2495558,TRUE,FALSE,English,,,,,,,,,,,,
JonBams,139067415,88830,5577,1522,309837,75728,1940922,TRUE,TRUE,English,,,,,,,,,,,,
OuterHeaven,137995935,94575,6955,1101,137954,7924,1037346,TRUE,TRUE,English,,,,,,,,,,,,
Yamikazexz,137528370,74490,12411,1643,201657,161100,5719244,TRUE,FALSE,English,,,,,,,,,,,,
aircool,137305080,128055,12620,964,153703,120570,1628826,TRUE,FALSE,English,,,,,,,,,,,,
robn_live,137249820,133545,73664,656,66223,63975,1502917,TRUE,FALSE,English,,,,,,,,,,,,
Ezekiel_III,136597425,109890,18804,1190,190452,8969,4018240,TRUE,TRUE,English,,,,,,,,,,,,
BrookeAB,135540690,48705,24357,2777,737161,247335,6936235,TRUE,FALSE,English,,,,,,,,,,,,
innocents,135250410,83790,13654,1557,534759,279080,3488587,TRUE,TRUE,English,,,,,,,,,,,,
RealKraftyy,135181170,108585,19953,1235,710277,21198,4102026,TRUE,FALSE,English,,,,,,,,,,,,
Bamboe,134431230,118920,5956,1075,86644,25348,2322578,TRUE,FALSE,English,,,,,,,,,,,,
MuTeX,133816530,150015,9448,824,200619,114872,1615269,TRUE,TRUE,English,,,,,,,,,,,,
RayNarvaezJr,133649520,82605,6611,1589,528396,29068,2180691,TRUE,TRUE,English,,,,,,,,,,,,
Zalae,133078635,95010,5934,1351,170668,23494,1776974,TRUE,FALSE,English,,,,,,,,,,,,
KheZu,132976365,124635,5322,991,122158,28840,2671995,TRUE,FALSE,English,,,,,,,,,,,,
RiotGamesOCE,132387150,40890,50458,3076,149775,65748,8437414,TRUE,FALSE,English,,,,,,,,,,,,
AlcastHQ,132082785,28905,12999,4680,81928,24582,41833833,TRUE,FALSE,English,,,,,,,,,,,,
julien,132054690,80895,15150,1685,511861,177756,4880209,TRUE,FALSE,English,,,,,,,,,,,,
Ziqoftw,131821710,94515,10569,1293,198304,33547,4933908,TRUE,FALSE,English,,,,,,,,,,,,
CouRageJD,131341275,14010,72100,8717,2115596,120434,2874860,FALSE,FALSE,English,,,,,,,,,,,,
JeffHoogland,130973670,113655,3375,1070,68914,7290,1965274,TRUE,FALSE,English,,,,,,,,,,,,
Call of Duty (callofduty),130938960,3645,170131,19897,968465,50321,5423366,TRUE,TRUE,English,,,,,,,,,,,,
Wackyjacky101,130390590,130335,5981,1012,209700,72794,9213152,TRUE,FALSE,English,,,,,,,,,,,,
iceiceice,130179570,37545,8409,3107,183960,57797,2582911,TRUE,FALSE,English,,,,,,,,,,,,
StarCraft,130159470,14850,56109,6636,342409,22130,4110003,TRUE,FALSE,English,,,,,,,,,,,,
MadDecentLive,129993915,42510,36968,3069,95371,95352,44291541,FALSE,FALSE,English,,,,,,,,,,,,
WillerZ,129956310,133770,24663,872,79392,68899,2344895,TRUE,TRUE,English,,,,,,,,,,,,
Markstrom,129129615,106620,71423,915,93045,35277,1829062,TRUE,FALSE,English,,,,,,,,,,,,
ops1x,128783415,68235,23490,1457,268942,254190,3050489,TRUE,FALSE,English,,,,,,,,,,,,
